pcell,freq,thres_b1,thres_a2,count
850-188,2259995_S,-112.0,-96.0,1
850-302,2259995_S,-110.0,-96.0,1
850-474,2259995_S,-110.0,-96.0,1
850-208,2259995_S,-112.0,-96.0,1
850-177,2268325_S,-112.0,-96.0,1
850-391,2259995_S,-110.0,-96.0,1
850-449,2259995_S,-110.0,-96.0,1
850-256,2259995_S,-110.0,-96.0,1
850-73,2259995_S,-113.0,-96.0,1
850-343,2259995_S,-110.0,-96.0,1
850-333,2259995_S,-112.0,-96.0,1
850-344,2259995_S,-110.0,-96.0,1
850-181,2259995_S,-110.0,-96.0,1
850-288,2259995_S,-110.0,-96.0,1
850-227,2259995_S,-110.0,-96.0,1
850-27,2264993_S,-115.0,-96.0,1
850-27,2264993_S,-115.0,-113.0,1
850-461,2259995_S,-113.0,-96.0,1
850-158,2259995_S,-113.0,-96.0,1
66486-261,2266659_S,-115.0,-113.0,1
66486-261,2266659_S,-115.0,-96.0,1
950-222,2259995_S,-110.0,-96.0,1
66486-222,2259995_S,-110.0,-96.0,1
850-483,2259995_S,-113.0,-96.0,1
850-258,2259995_S,-110.0,-96.0,1
850-410,2259995_S,-113.0,-96.0,1
850-49,2259995_S,-112.0,-96.0,1
850-183,2259995_S,-110.0,-96.0,1
850-149,2259995_S,-113.0,-96.0,1
850-383,2259995_S,-110.0,-96.0,1
850-202,2259995_S,-115.0,-96.0,1
850-202,2259995_S,-115.0,-113.0,1
850-416,2259995_S,-110.0,-96.0,1
850-437,2259995_S,-113.0,-96.0,1
850-270,2263327_S,-112.0,-96.0,1
850-272,2259995_S,-110.0,-96.0,1
850-50,2259995_S,-115.0,-113.0,1
850-389,2259995_S,-110.0,-96.0,1
850-163,2259995_S,-113.0,-96.0,1
850-402,2259995_S,-113.0,-96.0,1
850-426,2268325_S,-115.0,-96.0,1
850-426,2268325_S,-115.0,-113.0,1
850-415,2259995_S,-110.0,-96.0,1
850-56,2259995_S,-110.0,-96.0,1
850-330,2259995_S,-110.0,-96.0,1
5110-21,2259995_S,-112.0,-96.0,1
850-179,2259995_S,-110.0,-96.0,1
850-267,2259995_S,-113.0,-96.0,1
850-83,2259995_S,-113.0,-96.0,1
850-199,2259995_S,-110.0,-96.0,1
850-311,2259995_S,-112.0,-96.0,1
850-387,2259995_S,-110.0,-96.0,1
850-237,2259995_S,-112.0,-96.0,1
850-411,2259995_S,-110.0,-96.0,1
850-169,2259995_S,-110.0,-96.0,1
850-269,2259995_S,-110.0,-96.0,1
850-65,2259995_S,-110.0,-96.0,1
850-6,2259995_S,-115.0,-113.0,1
850-6,2259995_S,-115.0,-96.0,1
850-53,2259995_S,-112.0,-96.0,1
850-284,2259995_S,-110.0,-96.0,1
850-278,2259995_S,-110.0,-96.0,1
850-399,2259995_S,-113.0,-96.0,1
850-286,2259995_S,-112.0,-96.0,1
850-23,174300_S,-140.0,-115.0,1
850-346,2259995_S,-110.0,-96.0,1
850-190,2263327_S,-112.0,-96.0,1
850-182,2259995_S,-112.0,-96.0,1
850-55,2259995_S,-110.0,-96.0,1
850-232,2259995_S,-110.0,-96.0,1
850-428,2259995_S,-113.0,-96.0,1
850-382,2259995_S,-110.0,-96.0,1
850-295,2259995_S,-113.0,-96.0,1
850-325,2259995_S,-115.0,-96.0,1
850-325,2259995_S,-115.0,-113.0,1
850-497,2259995_S,-113.0,-96.0,1
850-413,2259995_S,-112.0,-96.0,1
5110-477,2259995_S,-115.0,-113.0,1
5110-430,2259995_S,-112.0,-96.0,1
850-463,2259995_S,-110.0,-96.0,1
850-453,2259995_S,-110.0,-96.0,1
850-70,2259995_S,-110.0,-96.0,1
850-289,2261661_S,-112.0,-96.0,1
850-337,2259995_S,-112.0,-96.0,1
5110-184,2266659_S,-112.0,-96.0,1
9820-368,2266659_S,-115.0,-113.0,1
9820-368,2266659_S,-115.0,-96.0,1
850-213,2259995_S,-112.0,-96.0,1
850-320,2259995_S,-112.0,-96.0,1
850-390,2259995_S,-115.0,-113.0,1
850-494,2259995_S,-115.0,-96.0,1
850-494,2259995_S,-115.0,-113.0,1
850-408,2259995_S,-112.0,-96.0,1
850-165,2259995_S,-115.0,-113.0,1
850-178,2259995_S,-110.0,-96.0,1
850-313,2259995_S,-113.0,-96.0,1
850-47,2259995_S,-110.0,-96.0,1
850-216,2259995_S,-113.0,-96.0,1
850-168,2259995_S,-110.0,-96.0,1
850-203,2259995_S,-112.0,-96.0,1
850-305,2269991_S,-112.0,-96.0,1
850-254,2261661_S,-112.0,-96.0,1
850-78,2259995_S,-110.0,-96.0,1
850-271,2263327_S,-112.0,-96.0,1
850-363,2259995_S,-110.0,-96.0,1
850-170,2259995_S,-110.0,-96.0,1
850-446,2259995_S,-112.0,-96.0,1
850-25,2264993_S,-112.0,-96.0,1
850-245,2259995_S,-110.0,-96.0,1
850-220,2259995_S,-112.0,-96.0,1
850-4,2266659_S,-112.0,-96.0,1
850-469,2259995_S,-110.0,-96.0,1
850-20,2271657_S,-112.0,-96.0,1
850-357,2259995_S,-110.0,-96.0,1
850-95,2259995_S,-113.0,-96.0,1
850-348,2268325_S,-112.0,-96.0,1
850-369,2259995_S,-112.0,-96.0,1
850-450,2259995_S,-115.0,-113.0,1
850-8,2259995_S,-110.0,-96.0,1
850-489,2261661_S,-112.0,-96.0,1
9820-265,2264993_S,-115.0,-96.0,1
9820-265,2264993_S,-115.0,-113.0,1
850-152,2259995_S,-112.0,-96.0,1
850-41,2264993_S,-112.0,-96.0,1
850-147,2259995_S,-110.0,-96.0,1
850-298,2259995_S,-112.0,-96.0,1
850-329,2259995_S,-112.0,-96.0,1
9820-57,2259995_S,-110.0,-96.0,1
9820-275,2264993_S,-110.0,-96.0,1
850-425,2263327_S,-112.0,-96.0,1
850-422,2259995_S,-112.0,-96.0,1
850-287,2259995_S,-113.0,-96.0,1
850-296,2259995_S,-113.0,-96.0,1
850-451,2259995_S,-110.0,-96.0,1
9820-217,2259995_S,-112.0,-96.0,1
850-429,2259995_S,-112.0,-96.0,1
850-64,2263327_S,-112.0,-96.0,1
850-395,2259995_S,-110.0,-96.0,1
850-441,2259995_S,-112.0,-96.0,1
850-218,2259995_S,-112.0,-96.0,1
850-176,2259995_S,-112.0,-96.0,1
850-67,2259995_S,-112.0,-96.0,1
850-332,2259995_S,-112.0,-96.0,1
850-282,2259995_S,-110.0,-96.0,1
850-283,2259995_S,-110.0,-96.0,1
850-462,2259995_S,-112.0,-96.0,1
850-406,2259995_S,-112.0,-96.0,1
850-299,2259995_S,-112.0,-96.0,1
850-211,2259995_S,-110.0,-96.0,1
850-328,2259995_S,-113.0,-96.0,1
850-324,2259995_S,-112.0,-96.0,1
9820-177,2259995_S,-112.0,-96.0,1
850-54,2259995_S,-110.0,-96.0,1
850-264,174300_S,-140.0,-115.0,1
850-464,2259995_S,-113.0,-96.0,1
850-94,2259995_S,-113.0,-96.0,1
5110-91,2259995_S,-115.0,-96.0,1
5110-91,2259995_S,-115.0,-113.0,1
850-160,2259995_S,-110.0,-96.0,1
850-62,2259995_S,-112.0,-96.0,1
850-222,2259995_S,-110.0,-96.0,1
850-488,2259995_S,-110.0,-96.0,1
850-161,2259995_S,-110.0,-96.0,1
850-17,2259995_S,-110.0,-96.0,1
850-159,2259995_S,-110.0,-96.0,1
850-101,2259995_S,-112.0,-96.0,1
850-345,2266659_S,-112.0,-96.0,1
9820-178,2259995_S,-113.0,-96.0,1
850-189,2259995_S,-110.0,-96.0,1
9820-400,2261661_S,-115.0,-113.0,1
9820-400,2261661_S,-115.0,-96.0,1
850-79,2259995_S,-115.0,-113.0,1
850-79,2259995_S,-115.0,-96.0,1
850-312,2259995_S,-110.0,-96.0,1
850-151,2259995_S,-112.0,-96.0,1
850-438,2259995_S,-110.0,-96.0,1
675-269,2256663_S,-113.0,-96.0,1
675-272,2256663_S,-113.0,-96.0,1
5110-406,2256663_S,-110.0,-96.0,1
850-306,2259995_S,-112.0,-96.0,1
66936-196,2271657_S,-115.0,-113.0,1
66936-196,2271657_S,-115.0,-96.0,1
66936-321,2269991_S,-112.0,-96.0,1
66936-360,2271657_S,-115.0,-113.0,1
66936-360,2271657_S,-115.0,-96.0,1
1400-169,2259995_S,-110.0,-96.0,1
850-204,2259995_S,-110.0,-96.0,1
850-361,2259995_S,-113.0,-96.0,1
850-198,2259995_S,-112.0,-96.0,1
850-241,2268325_S,-112.0,-96.0,1
850-457,2266659_S,-115.0,-113.0,1
850-457,2266659_S,-115.0,-96.0,1
850-201,2259995_S,-110.0,-96.0,1
1150-176,2256663_S,-110.0,-96.0,1
1150-410,174270_S,-113.0,-96.0,1
1150-354,2256663_S,-110.0,-96.0,1
66686-354,2256663_S,-110.0,-96.0,1
1150-456,2256663_S,-113.0,-96.0,1
66686-456,2256663_S,-113.0,-96.0,1
1150-197,2256663_S,-113.0,-96.0,1
66686-197,2256663_S,-113.0,-96.0,1
675-456,2256663_S,-113.0,-96.0,1
675-106,2256663_S,-110.0,-96.0,1
675-170,2256663_S,-110.0,-96.0,1
675-354,2256663_S,-110.0,-96.0,1
675-201,2256663_S,-113.0,-96.0,1
675-176,2256663_S,-110.0,-96.0,1
675-63,2256663_S,-110.0,-96.0,1
675-376,2256663_S,-113.0,-96.0,1
1550-172,2256663_S,-110.0,-96.0,1
1550-406,2256663_S,-110.0,-96.0,1
1550-201,2256663_S,-113.0,-96.0,1
1550-354,2268325_S,-113.0,-96.0,1
675-276,2256663_S,-110.0,-96.0,1
675-189,2256663_S,-110.0,-96.0,1
675-359,2256663_S,-113.0,-96.0,1
675-203,2256663_S,-110.0,-96.0,1
675-197,2256663_S,-113.0,-96.0,1
67086-172,2256663_S,-113.0,-96.0,1
67086-201,2256663_S,-113.0,-96.0,1
1550-189,2256663_S,-113.0,-96.0,1
67086-189,2256663_S,-110.0,-96.0,1
675-172,2256663_S,-110.0,-96.0,1
675-410,174270_S,-113.0,-96.0,1
675-44,2256663_S,-110.0,-96.0,1
67086-354,2268325_S,-113.0,-96.0,1
675-233,2256663_S,-110.0,-96.0,1
675-104,2256663_S,-110.0,-96.0,1
675-327,2256663_S,-113.0,-96.0,1
675-397,2256663_S,-113.0,-96.0,1
675-344,2256663_S,-110.0,-96.0,1
1150-195,2256663_S,-113.0,-96.0,1
66686-195,2256663_S,-113.0,-96.0,1
1150-171,2256663_S,-113.0,-96.0,1
66686-171,2256663_S,-113.0,-96.0,1
675-165,2256663_S,-113.0,-96.0,1
675-485,2256663_S,-113.0,-96.0,1
675-16,2256663_S,-110.0,-96.0,1
675-78,2256663_S,-110.0,-96.0,1
675-11,2256663_S,-110.0,-96.0,1
675-4,2256663_S,-110.0,-96.0,1
675-31,2256663_S,-113.0,-96.0,1
1150-104,2256663_S,-110.0,-96.0,1
1150-336,2256663_S,-113.0,-96.0,1
66686-336,2256663_S,-110.0,-96.0,1
66686-31,2256663_S,-113.0,-96.0,1
1150-307,2256663_S,-113.0,-96.0,1
66686-307,2256663_S,-113.0,-96.0,1
1150-453,2256663_S,-110.0,-96.0,1
1150-362,2256663_S,-113.0,-96.0,1
66686-362,2256663_S,-113.0,-96.0,1
66686-16,2256663_S,-110.0,-96.0,1
1150-78,2256663_S,-110.0,-96.0,1
1150-11,2256663_S,-110.0,-96.0,1
675-53,2256663_S,-113.0,-96.0,1
675-88,2256663_S,-110.0,-96.0,1
675-59,2256663_S,-110.0,-96.0,1
675-348,2256663_S,-113.0,-96.0,1
675-67,2256663_S,-113.0,-96.0,1
675-455,2256663_S,-113.0,-96.0,1
675-226,2256663_S,-113.0,-96.0,1
675-361,2256663_S,-113.0,-96.0,1
675-345,2256663_S,-113.0,-96.0,1
675-453,2256663_S,-110.0,-96.0,1
675-371,2256663_S,-113.0,-96.0,1
675-341,2256663_S,-113.0,-96.0,1
675-362,2256663_S,-113.0,-96.0,1
66686-154,2256663_S,-110.0,-96.0,1
1150-371,2256663_S,-113.0,-96.0,1
66686-371,2256663_S,-113.0,-96.0,1
1150-233,2256663_S,-110.0,-96.0,1
1150-341,2256663_S,-113.0,-96.0,1
66686-341,2256663_S,-113.0,-96.0,1
1150-163,2256663_S,-110.0,-96.0,1
67086-376,2256663_S,-113.0,-96.0,1
675-451,2256663_S,-113.0,-96.0,1
1550-327,2256663_S,-113.0,-96.0,1
1150-376,2256663_S,-113.0,-96.0,1
67086-456,2256663_S,-113.0,-96.0,1
1550-203,2256663_S,-113.0,-96.0,1
67086-203,2256663_S,-113.0,-96.0,1
675-267,2256663_S,-113.0,-96.0,1
1150-203,2256663_S,-113.0,-96.0,1
675-462,2256663_S,-113.0,-96.0,1
1150-348,2256663_S,-113.0,-96.0,1
66686-348,2256663_S,-110.0,-96.0,1
1150-67,2256663_S,-110.0,-96.0,1
66686-67,2256663_S,-113.0,-96.0,1
66686-455,2256663_S,-113.0,-96.0,1
66686-361,2256663_S,-113.0,-96.0,1
1150-201,2256663_S,-113.0,-96.0,1
66686-201,2256663_S,-113.0,-96.0,1
1150-172,2256663_S,-113.0,-96.0,1
67086-173,2256663_S,-113.0,-96.0,1
675-65,2256663_S,-113.0,-96.0,1
675-249,2256663_S,-110.0,-96.0,1
675-148,2256663_S,-113.0,-96.0,1
675-187,2256663_S,-113.0,-96.0,1
675-449,2256663_S,-110.0,-96.0,1
675-422,2256663_S,-110.0,-96.0,1
1150-272,2256663_S,-113.0,-96.0,1
66686-172,2256663_S,-113.0,-96.0,1
66686-176,2256663_S,-110.0,-96.0,1
1150-63,2256663_S,-110.0,-96.0,1
66686-63,2256663_S,-110.0,-96.0,1
66686-376,2256663_S,-113.0,-96.0,1
1150-344,2256663_S,-110.0,-96.0,1
66686-344,2256663_S,-110.0,-96.0,1
1150-293,2256663_S,-110.0,-96.0,1
66686-78,2256663_S,-110.0,-96.0,1
1150-147,2256663_S,-113.0,-96.0,1
66686-147,2256663_S,-113.0,-96.0,1
675-329,2256663_S,-113.0,-96.0,1
850-417,2259995_S,-112.0,-96.0,1
5110-230,2259995_S,-115.0,-96.0,1
5110-230,2259995_S,-115.0,-113.0,1
1400-148,2259995_S,-113.0,-96.0,1
850-315,2261661_S,-112.0,-96.0,1
675-38,2256663_S,-113.0,-96.0,1
66686-189,2256663_S,-113.0,-96.0,1
1150-493,2256663_S,-110.0,-96.0,1
66686-472,2256663_S,-110.0,-96.0,1
1150-329,2256663_S,-113.0,-96.0,1
66686-329,2256663_S,-113.0,-96.0,1
1550-106,2256663_S,-110.0,-96.0,1
67086-106,2256663_S,-110.0,-96.0,1
850-1,2264993_S,-113.0,-96.0,1
850-319,2259995_S,-113.0,-96.0,1
850-277,2259995_S,-113.0,-96.0,1
850-164,2259995_S,-110.0,-96.0,1
850-45,2259995_S,-112.0,-96.0,1
850-475,2259995_S,-110.0,-96.0,1
850-174,2259995_S,-112.0,-96.0,1
850-397,2259995_S,-112.0,-96.0,1
850-252,2259995_S,-112.0,-96.0,1
850-242,2268325_S,-115.0,-96.0,1
850-242,2268325_S,-115.0,-113.0,1
850-404,2259995_S,-112.0,-96.0,1
850-334,2259995_S,-112.0,-96.0,1
1550-276,2256663_S,-110.0,-96.0,1
1025-170,2256663_S,-110.0,-96.0,1
66686-163,2256663_S,-110.0,-96.0,1
66686-11,2256663_S,-110.0,-96.0,1
675-163,2256663_S,-110.0,-96.0,1
1150-143,2256663_S,-113.0,-96.0,1
1150-193,2256663_S,-113.0,-96.0,1
1550-348,2256663_S,-113.0,-96.0,1
1550-88,2256663_S,-110.0,-96.0,1
1550-67,2256663_S,-113.0,-96.0,1
67086-67,2256663_S,-113.0,-96.0,1
67086-348,2256663_S,-113.0,-96.0,1
675-401,2256663_S,-113.0,-96.0,1
850-493,2259995_S,-110.0,-96.0,1
